"Specimen received date";"Daily cases";"Cumulative cases"
"01 Mar";1559;1518813
"02 Mar";1522;1520335
"03 Mar";1290;1521625
"04 Mar";1200;1522825
"05 Mar";1248;1524073
"06 Mar";557;1524630
"07 Mar";443;1525073
"08 Mar";1477;1526550
"09 Mar";1515;1528065
"10 Mar";1180;1529245
"11 Mar";1192;1530437
"12 Mar";1234;1531671
"13 Mar";513;1532184
"14 Mar";328;1532512
"15 Mar";1492;1534004
"16 Mar";1371;1535375
"17 Mar";1296;1536671
"18 Mar";1153;1537824
"19 Mar";1164;1538988
"20 Mar";624;1539612
"21 Mar";423;1540035
"22 Mar";480;1540515
"23 Mar";1475;1541990
"24 Mar";1415;1543405
"25 Mar";1166;1544571
"26 Mar";1145;1545716
"27 Mar";572;1546288
"28 Mar";395;1546683
"29 Mar";1501;1548184
"30 Mar";1396;1549580
"31 Mar";1203;1550783
"01 Apr";1064;1551847
"02 Apr";361;1552208
"03 Apr";493;1552701
"04 Apr";294;1552995
"05 Apr";503;1553498
"06 Apr";1469;1554967
"07 Apr";1416;1556383
"08 Apr";1212;1557595
"09 Apr";1195;1558790
"10 Apr";579;1559369
"11 Apr";454;1559823
"12 Apr";1637;1561460
"13 Apr";1486;1562946
"14 Apr";1349;1564295
"15 Apr";1465;1565760
"16 Apr";1291;1567051
"17 Apr";769;1567820
"18 Apr";406;1568226
"19 Apr";1688;1569914
"20 Apr";1605;1571519
"21 Apr";1641;1573160
"22 Apr";1386;1574546
"23 Apr";1309;1575855
"24 Apr";671;1576526
"25 Apr";439;1576965
"26 Apr";1656;1578621
"27 Apr";615;1579236
"28 Apr";1821;1581057
"29 Apr";1668;1582725
"30 Apr";1646;1584371
"01 May";700;1585071
"02 May";588;1585659
"03 May";2226;1587885
"04 May";2178;1590063
"05 May";2150;1592213
"06 May";2262;1594475
"07 May";2206;1596681
"08 May";1154;1597835
"09 May";830;1598665
"10 May";2925;1601590
"11 May";3521;1605111
"12 May";3140;1608251
"13 May";2807;1611058
"14 May";3089;1614147
"15 May";1829;1615976
"16 May";1149;1617125
"17 May";3662;1620787
"18 May";3715;1624502
"19 May";3649;1628151
"20 May";3870;1632021
"21 May";4141;1636162
"22 May";2188;1638350
"23 May";1462;1639812
"24 May";4837;1644649
"25 May";4709;1649358
"26 May";4832;1654190
"27 May";4850;1659040
"28 May";4655;1663695
"29 May";2722;1666417
"30 May";1562;1667979
"31 May";6006;1673985
"01 Jun";5552;1679537
"02 Jun";5414;1684951
"03 Jun";5706;1690657
"04 Jun";5934;1696591
"05 Jun";3408;1699999
"06 Jun";2184;1702183
"07 Jun";8842;1711025
"08 Jun";9765;1720790
"09 Jun";8744;1729534
"10 Jun";9295;1738829
"11 Jun";9833;1748662
"12 Jun";6361;1755023
"13 Jun";3748;1758771
"14 Jun";14026;1772797
"15 Jun";14607;1787404
"16 Jun";7206;1794610
"17 Jun";16211;1810821
"18 Jun";16327;1827148
"19 Jun";9131;1836279
"20 Jun";5740;1842019
"21 Jun";18865;1860884
"22 Jun";19369;1880253
"23 Jun";18818;1899071
"24 Jun";18402;1917473
"25 Jun";17675;1935148
"26 Jun";10679;1945827
"27 Jun";6815;1952642
"28 Jun";21715;1974357
"29 Jun";22239;1996596
"30 Jun";24796;2021392
"01 Jul";26492;2047884
"02 Jul";21111;2068995
"03 Jul";12698;2081693
"04 Jul";7109;2088802
"05 Jul";24291;2113093
"06 Jul";24376;2137469
"07 Jul";24241;2161710
"08 Jul";22064;2183774
"09 Jul";19961;2203735
"10 Jul";11192;2214927
"11 Jul";5914;2220841
"12 Jul";18547;2239388
"13 Jul";18743;2258131
"14 Jul";16688;2274819
"15 Jul";14133;2288952
"16 Jul";13959;2302911
"17 Jul";7044;2309955
"18 Jul";4029;2313984
"19 Jul";17580;2331564
"20 Jul";16524;2348088
"21 Jul";13810;2361898
"22 Jul";12450;2374348
"23 Jul";11343;2385691
"24 Jul";5833;2391524
"25 Jul";3824;2395348
"26 Jul";18335;2413683
"27 Jul";14970;2428653
"28 Jul";13240;2441893
"29 Jul";12847;2454740
"30 Jul";11837;2466577
"31 Jul";6481;2473058
"01 Aug";3343;2476401
"02 Aug";14845;2491246
"03 Aug";14981;2506227
"04 Aug";14645;2520872
"05 Aug";13378;2534250
"06 Aug";12885;2547135
"07 Aug";6624;2553759
"08 Aug";3717;2557476
"09 Aug";4218;2561694
"10 Aug";15895;2577589
"11 Aug";16286;2593875
"12 Aug";15024;2608899
"13 Aug";14298;2623197
"14 Aug";7816;2631013
"15 Aug";3944;2634957
"16 Aug";15014;2649971
"17 Aug";16119;2666090
"18 Aug";15594;2681684
"19 Aug";14781;2696465
"20 Aug";13579;2710044
"21 Aug";7654;2717698
"22 Aug";4082;2721780
"23 Aug";13715;2735495
"24 Aug";14273;2749768
"25 Aug";12916;2762684
"26 Aug";11598;2774282
"27 Aug";10179;2784461
"28 Aug";5547;2790008
"29 Aug";3360;2793368
"30 Aug";9644;2803012
"31 Aug";10070;2813082
"01 Sep";9285;2822367
"02 Sep";8535;2830902
"03 Sep";7548;2838450
"04 Sep";3898;2842348
"05 Sep";2461;2844809
"06 Sep";7503;2852312
"07 Sep";6911;2859223
"08 Sep";6112;2865335
"09 Sep";5776;2871111
"10 Sep";5243;2876354
"11 Sep";2506;2878860
"12 Sep";1337;2880197
"13 Sep";5219;2885416
"14 Sep";4890;2890306
"15 Sep";4155;2894461
"16 Sep";3327;2897788
"17 Sep";2832;2900620
"18 Sep";1463;2902083
"19 Sep";959;2903042
"20 Sep";3203;2906245
"21 Sep";2900;2909145
"22 Sep";2454;2911599
"23 Sep";2099;2913698
"24 Sep";767;2914465
"25 Sep";704;2915169
"26 Sep";547;2915716
"27 Sep";2074;2917790
"28 Sep";1911;2919701
"29 Sep";1668;2921369
"30 Sep";1339;2922708
"01 Oct";1197;2923905
"02 Oct";485;2924390
"03 Oct";371;2924761
"04 Oct";1217;2925978
"05 Oct";1030;2927008
"06 Oct";983;2927991
"07 Oct";919;2928910
"08 Oct";783;2929693
"09 Oct";386;2930079
"10 Oct";207;2930286
"11 Oct";1018;2931304
"12 Oct";942;2932246
"13 Oct";801;2933047
"14 Oct";666;2933713
"15 Oct";608;2934321
"16 Oct";262;2934583
"17 Oct";174;2934757
"18 Oct";649;2935406
"19 Oct";560;2935966
"20 Oct";533;2936499
"21 Oct";468;2936967
"22 Oct";435;2937402
"23 Oct";178;2937580
"24 Oct";160;2937740
"25 Oct";541;2938281
"26 Oct";503;2938784
"27 Oct";431;2939215
"28 Oct";450;2939665
"29 Oct";267;2939932
"30 Oct";134;2940066
"31 Oct";110;2940176
"01 Nov";131;2940307
"02 Nov";466;2940773
"03 Nov";338;2941111
"04 Nov";331;2941442
"05 Nov";344;2941786
"06 Nov";133;2941919
"07 Nov";93;2942012
"08 Nov";367;2942379
"09 Nov";318;2942697
"10 Nov";397;2943094
"11 Nov";345;2943439
"12 Nov";344;2943783
"13 Nov";123;2943906
"14 Nov";138;2944044
"15 Nov";414;2944458
"16 Nov";568;2945026
"17 Nov";704;2945730
"18 Nov";902;2946632
"19 Nov";931;2947563
"20 Nov";521;2948084
"21 Nov";356;2948440
"22 Nov";1538;2949978
"23 Nov";2202;2952180
"24 Nov";2924;2955104
"25 Nov";3484;2958588
"26 Nov";3625;2962213
"27 Nov";2317;2964530
"28 Nov";1723;2966253
