CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DNK,2007,20,m,2,127,86,153,95,463,0.000200680617667943,0.00362942069893359,0.0202937612533524,0.0694496828126388,0.155125042196185,0.00890194708597286,0,0,0
DNK,2007,20,f,1,80,73,165,189,508,0.000105398182143766,0.0023290688114183,0.0157401989561151,0.0532558878639339,0.131278884820907,0.00958272515973498,0,0,0
DNK,2007,20,b,3,207,159,318,284,971,0.000154210611197528,0.0029852768947529,0.0179143580066543,0.0599854813077745,0.138395331482489,0.00924558034146138,0,0,0
DNK,2007,21,m,6,132,124,161,129,552,0.000602041853003828,0.00377231127763176,0.0292607720397174,0.0730810387766984,0.210643478350609,0.0106131204999072,0,0,0
DNK,2007,21,f,4,60,82,167,225,538,0.000421592728575065,0.00174680160856373,0.0176807714301567,0.0539014137774361,0.156284386691555,0.0101486341258611,0,0,0
DNK,2007,21,b,10,192,206,328,354,1090,0.000514035370658427,0.00276895248208964,0.023209797165854,0.0618718171979561,0.172506856847892,0.0103786638230617,0,0,0
DNK,2007,22,m,5,117,93,164,108,487,0.000501701544169856,0.00334363954153724,0.021945579029788,0.0744427972632207,0.176352679549347,0.00936338710770796,0,0,0
DNK,2007,22,f,5,70,76,139,201,491,0.000526990910718831,0.00203793520999102,0.0163870564474623,0.0448640509884049,0.139614052111123,0.00926204341226353,0,0,0
DNK,2007,22,b,10,187,169,303,309,978,0.000514035370658427,0.00269684434453523,0.0190410471894627,0.0571559774725021,0.15057801911299,0.00931223231096729,0,0,0
DNK,2007,23,m,7,125,109,166,125,532,0.000702382161837799,0.00357226446745432,0.0257211625187838,0.0753506362542356,0.204111897626559,0.0102285871484613,0,0,0
DNK,2007,23,f,3,70,82,172,181,508,0.000316194546431299,0.00203793520999102,0.0176807714301567,0.0555152285611917,0.125722106627429,0.00958272515973498,0,0,0
DNK,2007,23,b,10,195,191,338,306,1040,0.000514035370658427,0.00281221736462229,0.0215197633916413,0.0637581530881377,0.14911609659733,0.00990257832659098,0,0,0
DNK,2007,24,m,6,128,109,152,102,497,0.000602041853003828,0.00365799881467322,0.0257211625187838,0.0689957633171314,0.166555308463272,0.00955565378343091,0,0,0
DNK,2007,24,f,4,81,80,162,222,549,0.000421592728575065,0.00235818217156103,0.0172495331025919,0.0522875989936805,0.154200594869001,0.0103561340801073,0,0,0
DNK,2007,24,b,10,209,189,314,324,1046,0.000514035370658427,0.00301412014977466,0.0212944255550796,0.0592309469517019,0.157887631691291,0.00995970858616746,0,0,0
DNK,2007,25,m,3,135,96,149,104,487,0.000301020926501914,0.00385804562485066,0.0226535009339747,0.0676340048306091,0.169821098825297,0.00936338710770796,0,0,0
DNK,2007,25,f,0,76,67,166,211,520,0,0.00221261537084739,0.0144464839734207,0.053578650820685,0.14656002485297,0.00980908874618541,0,0,0
DNK,2007,25,b,3,211,163,315,315,1007,0.000154210611197528,0.00304296340479643,0.0183650336797777,0.0594195805407201,0.15350186414431,0.0095883618989203,0,0,0
DNK,2007,26,m,5,127,107,146,99,484,0.000501701544169856,0.00362942069893359,0.0252492145826594,0.0662722463440867,0.161656622920234,0.00930570710499107,0,0,0
DNK,2007,26,f,2,76,71,142,211,502,0.000210796364287533,0.00221261537084739,0.0153089606285503,0.0458323398586582,0.14656002485297,0.00946954336650976,0,0,0
DNK,2007,26,b,7,203,178,288,310,986,0.000359824759460899,0.00292759038470936,0.0200550674539904,0.0543264736372298,0.15106532661821,0.0093884059904026,0,0,0
DNK,2007,27,m,4,148,115,150,101,518,0.000401361235335885,0.00422956112946591,0.0271370063271572,0.0680879243261165,0.164922413282259,0.00995941380244912,0,0,0
DNK,2007,27,f,3,72,68,127,207,477,0.000316194546431299,0.00209616193027647,0.0146621031372031,0.0409908955073915,0.143781635756231,0.00899795256140469,0,0,0
