CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DNK,2007,49,m,7,125,121,158,121,532,0.000702382161837799,0.00357226446745432,0.0285528501355307,0.0717192802901761,0.197580316902509,0.0102285871484613,0,0,0
DNK,2007,49,f,5,82,77,192,216,572,0.000526990910718831,0.00238729553170376,0.0166026756112447,0.061970487696214,0.150033011223893,0.0107899976208039,0,0,0
DNK,2007,49,b,12,207,198,350,337,1104,0.000616842444790112,0.0029852768947529,0.0223084458196072,0.0660217561563556,0.164222629259151,0.0105119677620735,0,0,0
DNK,2007,50,m,6,137,106,167,115,531,0.000602041853003828,0.00391520185632993,0.0250132406145971,0.0758045557497431,0.187782945816434,0.010209360480889,0,0,0
DNK,2007,50,f,3,69,90,189,245,596,0.000316194546431299,0.00200882184984829,0.0194057247404159,0.0610021988259606,0.170176332175249,0.0112427247937048,0,0,0
DNK,2007,50,b,9,206,196,356,360,1127,0.000462631833592584,0.00297085526724201,0.0220831079830456,0.0671535576904646,0.175430701879212,0.01073096709045,0,0,0
DNK,2007,51,m,3,133,115,162,136,549,0.000301020926501914,0.00380088939337139,0.0271370063271572,0.0735349582722058,0.222073744617696,0.0105554404971903,0,0,0
DNK,2007,51,f,5,76,82,173,254,590,0.000526990910718831,0.00221261537084739,0.0176807714301567,0.0558379915179428,0.176427707642911,0.0111295430004796,0,0,0
DNK,2007,51,b,8,209,197,335,390,1139,0.000411228296526741,0.00301412014977466,0.0221957769013264,0.0631922523210832,0.190049927035813,0.010845227609603,0,0,0
DNK,2007,52,m,8,148,133,158,148,595,0.00080272247067177,0.00422956112946591,0.0313845377522775,0.0717192802901761,0.241668486789845,0.0114398672055159,0,0,0
DNK,2007,52,f,3,95,95,206,250,649,0.000316194546431299,0.00276576921355924,0.0204838205593279,0.0664891690907295,0.173649318546173,0.0122424973005276,0,0,0
DNK,2007,52,b,11,243,228,364,398,1244,0.000565438907724269,0.0035044554851447,0.0256885133680326,0.0686626264026098,0.193948387077573,0.0118450071521915,0,0,0
DNK,2008,1,m,3,154,106,210,145,618,0.000301983196474611,0.00438235271752871,0.0239302150889722,0.0944159112118088,0.232144563233233,0.01180433960252,0,0,0
DNK,2008,1,f,3,94,88,191,263,639,0.000317126996285739,0.00272546628564235,0.0182789688360048,0.0620420671384441,0.181186473310277,0.0119901333450027,0,0,0
DNK,2008,1,b,6,248,194,401,408,1257,0.000309369883250589,0.00356166003166415,0.0209869890456093,0.0756210296848392,0.196517211075973,0.0118980631938363,0,0,0
DNK,2008,2,m,6,134,106,197,157,600,0.000603966392949223,0.00381321600096654,0.0239302150889722,0.0885711167082206,0.251356527087018,0.0114605238859417,0,0,0
DNK,2008,2,f,6,91,90,183,247,617,0.000634253992571478,0.00263848331907929,0.018694399945914,0.0594434465253155,0.170163722082275,0.0115773275021387,0,0,0
DNK,2008,2,b,12,225,196,380,404,1217,0.000618739766501178,0.00323134478679207,0.0212033497574197,0.0716608261352591,0.194590571751699,0.0115194454311048,0,0,0
DNK,2008,3,m,7,128,123,181,136,575,0.00070462745844076,0.00364247498599789,0.0277680797730527,0.0813775234730352,0.217735590342895,0.0109830020573608,0,0,0
DNK,2008,3,f,4,100,78,164,252,598,0.000422835995047652,0.00289943221876845,0.0162018132864588,0.0532717225691352,0.173608331841026,0.0112208133651199,0,0,0
