Dato,Test,Data,Correct5000,Correct7500,Correct10000,Index5000,Index7500,Index10000
2021-01-08,8248,204,136.68701175076868,189.06026239826954,237.98591014979124,0.6700343713272974,0.9267659921483801,1.1665975987734865
2021-01-09,5789,140,124.5148642667683,172.2242121561908,216.79297045235117,0.8893918876197736,1.2301729439727913,1.5485212175167942
2021-01-10,5211,126,121.90167975333038,168.6097549851869,212.24315195201103,0.9674736488359554,1.3381726586125944,1.6844694599365955
2021-01-11,9004,183,114.30854693657176,158.10722322028985,199.02273985038798,0.6246368685058565,0.8639738973786331,1.087555955466601
2021-01-12,9468,228,136.80571841312442,189.2244529270253,238.19259045335286,0.6000250807593177,0.8299318110834443,1.044704344093653
2021-01-13,9946,165,95.17901012561475,131.64797736574326,165.71628175764286,0.5768424856097865,0.7978665294893531,1.0043411015614718
2021-01-14,11635,149,75.81395650744636,104.86297364437186,131.99976508653057,0.5088185000499755,0.7037783466065226,0.8859044636679905
2021-01-15,10197,140,79.16370353313094,109.49621599514109,137.83201340674904,0.5654550252366496,0.7821158285367221,0.9845143814767788
2021-01-16,7958,123,84.80822370218247,117.30350105174196,147.65969383215733,0.6894977536762803,0.9536870004206665,1.2004853157085962
2021-01-17,7596,110,78.72283465083535,108.88642296870476,137.0644160991047,0.7156621331894123,0.9898765724427706,1.2460401463554973
2021-01-18,11452,136,70.08254109546527,96.93549840130775,122.02079125576212,0.5153128021725387,0.7127610176566747,0.8972117004100155
2021-01-19,11874,123,61.574866544602216,85.16800738381389,107.20806951057426,0.5006086710943269,0.6924228242586495,0.8716103212241809
2021-01-20,12244,116,56.662448319298754,78.37333781872486,98.6550526042061,0.4884693820629203,0.6756322225752143,0.8504745914155699
2021-01-21,12903,128,59.95610552401872,82.92899886799648,104.38964287395271,0.46840707440639623,0.6478828036562225,0.8155440849527555
2021-01-22,10918,99,53.002545324748716,73.31109955892948,92.2827913771767,0.5353792457045324,0.7405161571609039,0.9321494078502697
2021-01-23,8516,100,65.31117261211772,90.33592346067373,113.71335621401894,0.6531117261211771,0.9033592346067373,1.1371335621401895
2021-01-24,8692,88,56.54092399806518,78.20525001165448,98.44346647159799,0.6425104999780135,0.8886960228597099,1.118675755359068
2021-01-25,12747,121,57.23148109049548,79.16040224904417,99.64579620320464,0.47298744702888823,0.6542182004053237,0.8235189768859887
2021-01-26,12323,102,49.56818494015427,68.56082323665854,86.30322264243551,0.4859625974524928,0.6721649336927307,0.8461100259062305
2021-01-27,11628,85,43.270400078151795,59.84996736756502,75.33814232416739,0.5090635303311976,0.7041172631478237,0.8863310861666753
2021-01-28,13980,71,31.190950901665513,43.14213388959585,54.30659975437333,0.4393091676290917,0.607635688585857,0.7648816866813145
2021-01-29,11673,70,35.52450662785836,49.1361429195499,61.851758511397975,0.507492951826548,0.7019448988507129,0.8835965501628282
2021-01-30,8013,66,45.256798128100655,62.59747740337959,78.79666220679401,0.6857090625469796,0.9484466273239333,1.1938888213150607
2021-01-31,7556,64,45.996249179824986,63.620257900802336,80.08412126601105,0.7186913934347654,0.9940665297000365,1.2513143947814227
2021-02-01,12250,70,34.179458070709806,47.27572304573926,59.50989295322536,0.48827797243871157,0.6753674720819894,0.8501413279032195
2021-02-02,11876,87,43.547086592967126,60.2326696040323,75.81988152682527,0.5005412252065187,0.6923295356785323,0.871492891112934
2021-02-03,11482,54,27.76871155177961,38.40862292032504,48.348134966818655,0.5142353991070298,0.711270794820834,0.895335832718864
2021-02-04,15600,76,30.583692400982148,42.302197087903856,53.2493012947008,0.40241700527608093,0.5566078564197876,0.7006487012460632
2021-02-05,12981,57,26.570782181336295,36.75169269550188,46.262418790361856,0.4661540733567771,0.6447665385175768,0.81162138228705
2021-02-06,8452,55,36.13858154052141,49.98550792236347,62.92092503364765,0.6570651189185711,0.9088274167702449,1.1440168187935935
2021-02-07,8191,41,27.624238786675985,38.2087937007815,48.09659327273484,0.6737619216262436,0.9319217975800365,1.1730876407984108
2021-02-08,12305,55,26.759216822401193,37.01232830548662,46.59050255620896,0.486531214952749,0.6729514237361203,0.8471000464765266
2021-02-09,11537,66,33.810035355060734,46.764751632567645,58.86669064681999,0.5122732629554657,0.7085568429176916,0.8919195552548483
2021-02-10,12511,57,27.366372863086056,37.85212338841578,47.64762262266266,0.48011180461554487,0.6640723401476452,0.8359232039063625
2021-02-11,15287,59,24.13071568230588,33.37668576055568,42.01401625994001,0.4089951810560319,0.565706538314503,0.7121019705074577
2021-02-12,13462,43,19.46958928440785,26.929593468678526,33.898523837370874,0.45278114614901976,0.6262696155506634,0.7883377636597877
2021-02-13,9086,53,32.8665173435227,45.459713497970554,57.223930373971044,0.6201229687457114,0.8577304433579349,1.0796967995088875
2021-02-14,8741,52,33.26062845647261,46.00483296085152,57.91011767673066,0.6396274703167809,0.8847083261702215,1.1136561091678971
2021-02-15,13026,67,31.145976178480982,43.07992656749811,54.228294213168574,0.46486531609673104,0.6429839786193748,0.8093775255696801
2021-02-16,12546,70,33.53279986447762,46.38129007375232,58.383995621834366,0.4790399980639659,0.6625898581964617,0.8340570803119195
2021-02-17,12713,69,32.70594157601459,45.23761121955333,56.944351724259256,0.4739991532755738,0.65561755390657,0.8252804597718733
2021-02-18,15397,47,19.112828971078812,26.43613620754342,33.27736805391029,0.4066559355548684,0.5624709831392217,0.7080291075300061
2021-02-19,12226,75,36.67834689936669,50.73209078396598,63.860711108028646,0.4890446253248892,0.6764278771195464,0.8514761481070486
2021-02-20,8805,65,41.33385121627249,57.17140682780025,71.9664149190484,0.6359054033272691,0.8795601050430808,1.1071756141392062
2021-02-21,9206,46,28.227801754937026,39.04361898294785,49.1474574367435,0.6136478642377614,0.8487743257162575,1.0684229877552935
2021-02-22,13204,70,32.189159063109564,44.52281735405564,56.04458110883714,0.4598451294729938,0.6360402479150805,0.8006368729833878
2021-02-23,13052,98,45.484186024050985,62.911991670126056,79.19256752860655,0.4641243471841937,0.6419590986747556,0.8080874237612914
2021-02-24,12909,83,38.86333043596041,53.75427669229157,67.66498840517747,0.4682328968188001,0.6476418878589345,0.8152408241587648
