"Esbjerg";"11 år";1319
"Esbjerg";"12 år";1353
"Esbjerg";"13 år";1273
"Esbjerg";"14 år";1363
"Esbjerg";"15 år";1255
"Esbjerg";"16 år";1358
"Esbjerg";"17 år";1319
"Esbjerg";"18 år";1368
"Esbjerg";"19 år";1403
"Esbjerg";"20 år";1491
"Esbjerg";"21 år";1422
"Esbjerg";"22 år";1403
"Esbjerg";"23 år";1382
"Esbjerg";"24 år";1479
"Esbjerg";"25 år";1498
"Esbjerg";"26 år";1558
"Esbjerg";"27 år";1509
"Esbjerg";"28 år";1577
"Esbjerg";"29 år";1505
"Esbjerg";"30 år";1518
"Esbjerg";"31 år";1375
"Esbjerg";"32 år";1376
"Esbjerg";"33 år";1306
"Esbjerg";"34 år";1315
"Esbjerg";"35 år";1279
"Esbjerg";"36 år";1208
"Esbjerg";"37 år";1229
"Esbjerg";"38 år";1201
"Esbjerg";"39 år";1249
"Esbjerg";"40 år";1295
"Esbjerg";"41 år";1275
"Esbjerg";"42 år";1257
"Esbjerg";"43 år";1367
"Esbjerg";"44 år";1351
"Esbjerg";"45 år";1486
"Esbjerg";"46 år";1390
"Esbjerg";"47 år";1518
"Esbjerg";"48 år";1501
"Esbjerg";"49 år";1540
"Esbjerg";"50 år";1487
"Esbjerg";"51 år";1491
"Esbjerg";"52 år";1516
"Esbjerg";"53 år";1604
"Esbjerg";"54 år";1850
"Esbjerg";"55 år";1665
"Esbjerg";"56 år";1739
"Esbjerg";"57 år";1596
"Esbjerg";"58 år";1565
"Esbjerg";"59 år";1585
"Esbjerg";"60 år";1539
"Esbjerg";"61 år";1512
"Esbjerg";"62 år";1497
"Esbjerg";"63 år";1493
"Esbjerg";"64 år";1472
"Esbjerg";"65 år";1471
"Esbjerg";"66 år";1408
"Esbjerg";"67 år";1456
"Esbjerg";"68 år";1292
"Esbjerg";"69 år";1333
"Esbjerg";"70 år";1297
"Esbjerg";"71 år";1259
"Esbjerg";"72 år";1314
"Esbjerg";"73 år";1335
"Esbjerg";"74 år";1310
"Esbjerg";"75 år";1291
"Esbjerg";"76 år";1184
"Esbjerg";"77 år";1047
"Esbjerg";"78 år";989
"Esbjerg";"79 år";892
"Esbjerg";"80 år";748
"Esbjerg";"81 år";677
"Esbjerg";"82 år";649
"Esbjerg";"83 år";589
"Esbjerg";"84 år";513
"Esbjerg";"85 år";457
"Esbjerg";"86 år";418
"Esbjerg";"87 år";330
"Esbjerg";"88 år";239
"Esbjerg";"89 år";252
"Esbjerg";"90 år";192
"Esbjerg";"91 år";163
"Esbjerg";"92 år";148
"Esbjerg";"93 år";93
"Esbjerg";"94 år";77
"Esbjerg";"95 år";40
"Esbjerg";"96 år";44
"Esbjerg";"97 år";26
"Esbjerg";"98 år";22
"Esbjerg";"99 år";16
"Esbjerg";"100 år";8
"Esbjerg";"101 år";4
"Esbjerg";"102 år";6
"Esbjerg";"103 år";1
"Esbjerg";"104 år";0
"Esbjerg";"105 år";0
"Esbjerg";"106 år";0
"Esbjerg";"107 år";0
"Esbjerg";"108 år";0
"Esbjerg";"109 år";0
"Esbjerg";"110 år";0
"Esbjerg";"111 år";0
"Esbjerg";"112 år";0
"Esbjerg";"113 år";0
"Esbjerg";"114 år";0
"Esbjerg";"115 år";0
"Esbjerg";"116 år";0
