bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Horsens,8038,"Yding,Horsens",383,56,15%,0%,1%,85%
Horsens,8042,"Kattrup,Horsens",336,42,13%,0%,1%,87%
Horsens,8043,"Tolstrup,Horsens",2133,303,14%,0%,1%,84%
Horsens,8044,"Ørridslev,Horsens",2650,272,10%,0%,1%,88%
Horsens,8045,"Vedslet,Horsens",456,70,15%,0%,1%,83%
Horsens,8046,"Lundum,Horsens",226,20,9%,0%,3%,88%
Horsens,8047,"Hansted,Horsens",2982,304,10%,0%,1%,89%
Horsens,8048,"Vær,Horsens",5364,344,6%,0%,1%,93%
Horsens,8049,"Nebel,Horsens",289,30,10%,0%,1%,89%
Horsens,8050,"Gangsted,Horsens",228,39,17%,0%,2%,81%
Horsens,8051,"Søvind,Horsens",1391,142,10%,0%,1%,89%
Horsens,8052,"Klostersogn,Horsens",12176,2542,21%,0%,2%,77%
Horsens,8053,"Vor Frelsers,Horsens",10895,2229,20%,0%,2%,78%
Horsens,8054,"Tamdrup,Horsens",3248,364,11%,0%,1%,87%
Horsens,8055,"Nim,Horsens",788,76,10%,0%,2%,88%
Horsens,8056,"Underup,Horsens",242,31,13%,0%,1%,86%
Horsens,8059,"Endelave,Horsens",164,<10,,,,
Horsens,9077,"Sønderbro,Horsens",6646,1140,17%,0%,1%,81%
Hvidovre,,,175,75,43%,0%,3%,54%
Hvidovre,7141,"Hvidovre,Hvidovre",9140,1344,15%,0%,2%,83%
Hvidovre,7142,"Strandmarks,Hvidovre",12334,1603,13%,0%,2%,85%
Hvidovre,7143,"Risbjerg,Hvidovre",10033,1411,14%,0%,2%,84%
Hvidovre,7146,"Avedøre,Hvidovre",13575,2657,20%,0%,2%,78%
Høje-Taastrup,,,181,84,46%,0%,5%,49%
Høje-Taastrup,7152,"Høje Taastrup,H-Taas",11123,2946,26%,0%,2%,71%
Høje-Taastrup,7153,"Taastrup Nkr,H-Taast",12476,2624,21%,0%,2%,77%
Høje-Taastrup,7162,"Fløng,H-Taastrup",3746,470,13%,0%,2%,86%
Høje-Taastrup,7184,"Sengeløse,H-Taastrup",2222,316,14%,0%,1%,85%
Høje-Taastrup,7196,"Reerslev,H-Taastrup",1587,143,9%,0%,1%,90%
Høje-Taastrup,9083,"Hedehusene,H-Taastru",7173,1560,22%,0%,1%,77%
Høje-Taastrup,9094,"Rønnevang,H-Taastrup",6647,1012,15%,0%,1%,83%
Hørsholm,,,73,17,23%,0%,3%,74%
Hørsholm,7449,"Blovstrød,Allerød",361,41,11%,1%,1%,86%
Hørsholm,7451,"Hørsholm,Hørsholm",10784,975,9%,0%,1%,90%
Hørsholm,9080,"Rungsted,Hørsholm",5580,496,9%,0%,1%,90%
Hørsholm,9145,"Kokkedal,Hørsholm",4904,466,10%,0%,1%,89%
Ikast-Brande,,,137,59,43%,0%,4%,53%
Ikast-Brande,7974,"Brande,Ikast-Brande",7247,1172,16%,0%,1%,82%
Ikast-Brande,7980,"Blåhøj,Ikast-Brande",661,124,19%,0%,2%,79%
Ikast-Brande,7999,"N Snede,Ikast-Brande",2176,309,14%,0%,1%,85%
Ikast-Brande,8000,"Ejstrup,Ikast-Brande",2167,250,12%,0%,1%,87%
Ikast-Brande,8005,"Klovborg,Ikast-Brand",852,128,15%,0%,1%,84%
Ikast-Brande,8612,"Engesvang,Ikast-Bran",2403,269,11%,0%,1%,88%
Ikast-Brande,8801,"Ilskov,Herning",165,22,13%,0%,0%,87%
Ikast-Brande,8802,"Ikast,Ikast-Brande",9410,1246,13%,0%,1%,85%
Ikast-Brande,8812,"Bording,Ikast-Brande",2744,312,11%,0%,1%,87%
Ikast-Brande,9123,"Isenvad,Ikast-Brande",1028,206,20%,0%,2%,78%
Ikast-Brande,9152,"Fonnesbæk,Ikast-Bran",4465,343,8%,0%,1%,91%
Ikast-Brande,9211,"Faurholt,Ikast-Brand",891,86,10%,0%,1%,89%
Ikast-Brande,9212,"Christiansh,Ikast-B",321,65,20%,0%,2%,78%
Ikast-Brande,9281,"Skærlund,Ikast-Brand",154,15,10%,0%,1%,89%
Ikast-Brande,9282,"Uhre,Ikast-Brande",440,95,22%,0%,1%,77%
Ikast-Brande,9288,"Gludsted,Ikast-Brand",445,60,13%,0%,1%,85%
Ikast-Brande,9289,"Hampen,Ikast-Brande",474,73,15%,0%,2%,83%
Ishøj,,,110,55,50%,1%,4%,45%
Ishøj,7150,"Torslunde,Ishøj",707,83,12%,0%,1%,88%
Ishøj,7151,"Ishøj,Ishøj",18941,4856,26%,0%,2%,72%
Jammerbugt,,,63,20,32%,0%,0%,68%
Jammerbugt,8379,"Åby,Jammerbugt",5521,427,8%,0%,1%,91%
Jammerbugt,8380,"Biersted,Jammerbugt",3066,280,9%,0%,1%,90%
Jammerbugt,8391,"Lerup,Jammerbugt",128,17,13%,0%,2%,85%
Jammerbugt,8392,"Tranum,Jammerbugt",666,62,9%,0%,1%,89%
Jammerbugt,8393,"Brovst,Jammerbugt",2622,358,14%,0%,2%,85%
Jammerbugt,8394,"Øland,Jammerbugt",471,39,8%,0%,2%,90%
Jammerbugt,8395,"Torslev,Jammerbugt",759,112,15%,0%,1%,84%
Jammerbugt,8396,"Ø Svenstrup,Jammerbu",618,76,12%,0%,1%,86%
Jammerbugt,8397,"Haverslev,Jammerbugt",521,104,20%,0%,1%,79%
Jammerbugt,8398,"Skræm,Jammerbugt",269,38,14%,0%,1%,84%
Jammerbugt,8400,"Bejstrup,Jammerbugt",271,33,12%,0%,1%,87%
Jammerbugt,8401,"Vedsted,Jammerbugt",1045,130,12%,0%,2%,86%
Jammerbugt,8420,"Ingstrup,Jammerbugt",607,94,15%,0%,2%,83%
Jammerbugt,8421,"V Hjermitslev,Jammer",405,55,14%,0%,0%,86%
Jammerbugt,8422,"Saltum,Jammerbugt",1180,116,10%,0%,2%,89%
Jammerbugt,8423,"Alstrup,Jammerbugt",60,<10,,,,
Jammerbugt,8424,"Jetsmark,Jammerbugt",5254,642,12%,0%,2%,86%
Jammerbugt,8425,"Hune,Jammerbugt",1558,114,7%,0%,1%,92%
Jammerbugt,8426,"Gjøl,Jammerbugt",1041,103,10%,0%,2%,88%
Jammerbugt,8710,"Hjortdal,Jammerbugt",405,57,14%,0%,1%,85%
Jammerbugt,8711,"Klim,Jammerbugt",518,54,10%,0%,2%,88%
Jammerbugt,8712,"V Torup,Jammerbugt",519,55,11%,0%,2%,88%
Jammerbugt,8713,"Vust,Jammerbugt",94,10,11%,1%,2%,86%
Jammerbugt,8716,"Kettrup,Jammerbugt",459,68,15%,0%,3%,82%
Jammerbugt,8717,"Gøttrup,Jammerbugt",451,54,12%,0%,2%,86%
Jammerbugt,9150,"Langeslund,Jammerbug",1215,166,14%,0%,1%,85%
Jammerbugt,9180,"Kollerup-Fj.,Jammerb",3351,355,11%,0%,1%,89%
Jammerbugt,9234,"Koldmose,Jammerbugt",203,27,13%,0%,2%,84%
Kalundborg,,,157,73,46%,0%,3%,51%
Kalundborg,7219,"Ubby,Kalundborg",1713,255,15%,0%,1%,84%
Kalundborg,7220,"Svallerup,Kalundborg",1138,130,11%,0%,1%,87%
Kalundborg,7221,"St Fuglede,Kalundbor",386,65,17%,0%,2%,82%
Kalundborg,7222,"Ll Fuglede,Kalundbor",625,78,12%,0%,1%,86%
Kalundborg,7223,"Sæby,Kalundborg",479,64,13%,0%,1%,86%
Kalundborg,7224,"Hallenslev,Kalundbor",210,43,20%,0%,0%,79%
Kalundborg,7225,"Buerup,Kalundborg",445,62,14%,0%,1%,85%
Kalundborg,7226,"Reerslev,Kalundborg",448,62,14%,0%,1%,85%
Kalundborg,7231,"Ørslev,Kalundborg",263,39,15%,0%,0%,85%
Kalundborg,7232,"Solbjerg,Kalundborg",235,34,14%,0%,0%,85%
Kalundborg,7234,"Gierslev,Kalundborg",744,92,12%,0%,1%,87%
Kalundborg,7235,"Finderup,Kalundborg",4415,525,12%,0%,1%,87%
Kalundborg,7236,"Gørlev,Kalundborg",2493,319,13%,0%,1%,86%
Kalundborg,7237,"Bakkendrup,Kalundbor",166,44,27%,1%,0%,73%
Kalundborg,7238,"Kr Helsinge,Kalundbo",1123,144,13%,0%,1%,86%
Kalundborg,7239,"Drøsselbjerg,Kalundb",510,62,12%,0%,2%,86%
Kalundborg,7253,"Værslev,Kalundborg",388,58,15%,0%,0%,85%
Kalundborg,7254,"Jorløse,Kalundborg",280,50,18%,0%,1%,81%
Kalundborg,7257,"Sejerø,Kalundborg",306,23,8%,0%,2%,91%
Kalundborg,7268,"Vor Frue,Kalundborg",5278,879,17%,0%,1%,82%
Kalundborg,7269,"Raklev,Kalundborg",5317,463,9%,0%,1%,90%
Kalundborg,7270,"Røsnæs,Kalundborg",694,68,10%,0%,1%,89%
Kalundborg,7271,"Tømmerup,Kalundborg",1194,144,12%,0%,2%,86%
Kalundborg,7272,"Årby,Kalundborg",1727,221,13%,0%,1%,87%
Kalundborg,7273,"Rørby,Kalundborg",1267,203,16%,0%,1%,83%
Kalundborg,9066,"Nyvangs,Kalundborg",3592,544,15%,0%,1%,83%
Kalundborg,9244,"Reersø,Kalundborg",560,79,14%,0%,1%,85%
Kalundborg,9312,"Viskinge-Avnsø,Kalun",2549,393,15%,0%,1%,84%
Kalundborg,9315,Bregn-Bjergst-Allesh,1623,278,17%,0%,1%,81%
Kalundborg,9323,Føllens-Særslev Sogn,2602,367,14%,0%,1%,85%
Kerteminde,,,64,20,31%,0%,2%,67%
Kerteminde,7798,"Munkebo,Kerteminde",5210,641,12%,0%,1%,86%
Kerteminde,7800,"Kølstrup,Kerteminde",713,86,12%,0%,2%,86%
Kerteminde,7869,"Marslev,Kerteminde",1030,162,16%,0%,1%,83%
Kerteminde,7870,"Birkende,Kerteminde",1628,181,11%,0%,1%,88%
Kerteminde,7871,"Rynkeby,Kerteminde",969,90,9%,0%,1%,89%
Kerteminde,7872,"Revninge,Kerteminde",558,55,10%,0%,1%,89%
Kerteminde,7873,"Mesinge,Kerteminde",730,66,9%,0%,1%,90%
Kerteminde,7874,"Viby,Kerteminde",249,28,11%,0%,1%,88%
Kerteminde,7875,"Dalby,Kerteminde",440,42,10%,0%,1%,90%
Kerteminde,7876,"Stubberup,Kerteminde",406,48,12%,0%,1%,86%
Kerteminde,7882,"Rønninge,Kerteminde",3301,311,9%,0%,1%,90%
Kerteminde,9293,Kerteminde-Drigstrup,5883,397,7%,0%,1%,92%
Kolding,,,155,53,34%,0%,3%,63%
Kolding,7927,"Sct Nicolai,Kolding",9772,1539,16%,0%,2%,82%
Kolding,7928,"Kristkirkens,Kolding",10888,1671,15%,0%,2%,83%
Kolding,7929,"Brændkjær,Kolding",5372,925,17%,0%,2%,81%
Kolding,7930,"Eltang,Kolding",418,62,15%,0%,2%,83%
Kolding,7931,"S Vilstrup,Kolding",308,39,13%,0%,2%,86%
Kolding,7932,"Nørre Bjert,Kolding",5442,448,8%,0%,1%,90%
Kolding,7933,"Harte,Kolding",2901,314,11%,0%,1%,88%
Kolding,7934,"Bramdrup,Kolding",3810,320,8%,0%,1%,90%
Kolding,7936,"Almind,Kolding",1718,174,10%,0%,1%,89%
Kolding,7937,"Viuf,Kolding",769,105,14%,0%,1%,85%
Kolding,7939,"Vester Nebel,Kolding",1833,174,9%,0%,1%,89%
Kolding,7940,"Vonsild,Kolding",2835,248,9%,0%,1%,90%
Kolding,7941,"Dalby,Kolding",2990,244,8%,0%,1%,90%
Kolding,7942,"S Bjert,Kolding",2277,194,9%,0%,1%,91%
Kolding,7943,"S Stenderup,Kolding",743,89,12%,0%,2%,86%
Kolding,7944,"Hejls,Kolding",840,107,13%,0%,1%,86%
Kolding,7945,"Vejstrup,Kolding",898,103,11%,0%,1%,87%
Kolding,7946,"Ødis,Kolding",1095,152,14%,0%,1%,85%
Kolding,7947,"Taps,Kolding",565,96,17%,0%,1%,82%
Kolding,8935,"Lejrskov,Kolding",830,153,18%,0%,1%,80%
Kolding,8936,"Jordrup,Kolding",680,95,14%,0%,0%,86%
Kolding,8939,"Skanderup,Kolding",3526,406,12%,0%,1%,87%
Kolding,8940,"Seest,Kolding",3887,365,9%,0%,1%,90%
Kolding,8941,"Hjarup,Kolding",473,59,12%,0%,0%,87%
Kolding,8981,"Aller,Kolding",407,62,15%,0%,1%,84%
Kolding,8983,"Stepping,Kolding",686,120,17%,0%,1%,81%
Kolding,8984,"Frørup,Kolding",225,60,27%,0%,2%,71%
Kolding,8985,"Tyrstrup,Kolding",3275,387,12%,0%,1%,87%
Kolding,9067,"Vamdrup,Kolding",4792,552,12%,0%,2%,87%
Kolding,9116,"Simon Peters,Kolding",6533,1634,25%,0%,2%,73%
København,,,4614,2638,57%,0%,3%,40%
København,7002,"Helligånds,Kbhvn",5231,833,16%,0%,2%,82%
København,7003,"Trinitatis,Kbhvn",3456,519,15%,0%,2%,83%
København,7011,"Bethlehems,Kbhvn",2610,476,18%,0%,2%,79%
København,7024,"Valby,Kbhvn",8827,1122,13%,0%,2%,85%
København,7026,"Timotheus,Kbhvn",9637,1477,15%,0%,2%,83%
København,7027,"Vigerslev,Kbhvn",6920,1490,22%,0%,2%,76%
København,7028,"Aalholm,Kbhvn",6971,937,13%,0%,2%,84%
København,7036,"Holmens,København",2560,383,15%,0%,3%,82%
København,7037,"Garnisons,Kbhvn",3044,448,15%,0%,2%,83%
København,7038,"Frederiks,Kbhvn",3272,429,13%,0%,2%,85%
København,7039,"Skt Pauls,Kbhvn",4393,863,20%,0%,2%,78%
København,7040,"Østervold,Kbhvn",6005,701,12%,0%,2%,86%
København,7041,"Kastels,Kbhvn",6231,792,13%,0%,2%,86%
København,7043,"Rosenvængets,Kbhvn",13604,1475,11%,0%,2%,87%
København,7044,"Skt Jakobs,Kbhvn",11400,1528,13%,0%,2%,85%
København,7046,"Hans Egedes,Kbhvn",8892,985,11%,0%,2%,87%
København,7050,"Anna,Kbhvn",6398,775,12%,0%,2%,86%
København,7051,"Skt Stefans,Kbhvn",11156,1855,17%,0%,3%,81%
København,7053,"Kingo-Samuel,Kbhvn",19620,3830,20%,0%,3%,78%
København,7054,"Aldersro,Kbhvn",7399,1073,15%,0%,2%,83%
København,7055,"Kildevælds,Kbhvn",9675,1371,14%,0%,2%,84%
København,7056,"Sions,Kbhvn",9121,1383,15%,0%,2%,83%
København,7057,"Hyltebjerg,Kbhvn",9179,1218,13%,0%,2%,85%
København,7058,"Vanløse,Kbhvn",9984,1416,14%,0%,2%,84%
København,7059,"Adventskirkens,Kbhvn",7307,1084,15%,0%,2%,83%
København,7060,"Grøndals,Kbhvn",7724,910,12%,0%,2%,87%
København,7061,"Ansgarkirkens,Kbhvn",8999,1845,21%,0%,3%,77%
København,7062,"Kapernaums,Kbhvn",9363,1734,19%,0%,3%,79%
København,7063,"Tagensbo,Kbhvn",7181,1419,20%,0%,3%,77%
København,7064,"Bispebjerg,Kbhvn",9273,2094,23%,0%,3%,75%
København,7065,"Emdrup,Kbhvn",4219,731,17%,0%,2%,81%
København,7066,"Lundehus,Kbhvn",6170,1314,21%,0%,2%,76%
København,7067,"Husum,Kbhvn",9034,1410,16%,0%,2%,83%
København,7068,"Brønshøj,Kbhvn",7811,836,11%,0%,2%,88%
København,7070,"Husumvold,Kbhvn",7627,1930,25%,0%,3%,72%
København,7080,"Islands Brygge,Kbhvn",31455,5028,16%,0%,2%,82%
København,7081,"Christians,Kbhvn",6685,881,13%,0%,2%,85%
København,7082,"Vor Frelsers,Kbhvn",13286,2068,16%,0%,2%,82%
København,7083,"Nathanaels,Kbhvn",7293,1162,16%,0%,2%,82%
København,7084,"Sundby,Kbhvn",17336,3566,21%,0%,2%,77%
København,7085,"Allehelgens,Kbhvn",13368,2000,15%,0%,2%,83%
København,7086,"Filips,Kbhvn",10650,1666,16%,0%,2%,82%
København,7087,"Sundkirkens,Kbhvn",6989,840,12%,0%,2%,86%
København,7088,"Højdevang,Kbhvn",11250,1781,16%,0%,2%,82%
København,7089,"Simon Peters,Kbhvn",8629,1254,15%,0%,2%,84%
København,7090,"Solvang,København",10983,2163,20%,0%,2%,78%
København,7103,"Solbjerg,Frberg",22,<10,,,,
København,7107,"Mariendals,Frberg",25,<10,,,,
København,9133,"Tingbjerg,København",5050,1985,39%,0%,4%,57%
København,9161,"Blågården, Københ",10214,1969,19%,0%,3%,78%
København,9164,"Fredens-Nazaret,Kbh",4155,492,12%,0%,2%,86%
København,9165,"Sydhavn,København",28995,5136,18%,0%,2%,80%
København,9169,Simeon-Skt.Johan.Kbh,16192,2447,15%,0%,3%,82%
København,9174,"Vor Frue,Kbhvn",7532,1097,15%,0%,2%,83%
København,9175,"Davids,Kbhvn",5351,688,13%,0%,2%,85%
København,9181,"Frederiksberg,Frberg",24,<10,,,,
København,9182,Bellahøj-Utterslev,12254,2729,22%,0%,3%,75%
København,9185,"Vesterbro Sogn,Kbhvn",38769,5629,15%,0%,2%,83%
København,9190,"Valby Søndre,Kbhvn",22073,4309,20%,0%,2%,78%
Køge,,,252,149,59%,0%,3%,38%
Køge,7206,"Sankt Nicolai,Køge",9570,843,9%,0%,1%,90%
Køge,7207,"Ølsemagle,Køge",3868,570,15%,0%,1%,84%
Køge,7214,"Borup,Køge",3382,472,14%,0%,1%,85%
Køge,7215,"Kimmerslev,Køge",328,44,13%,0%,0%,86%
Køge,7216,"Ejby,Køge",3223,352,11%,0%,1%,88%
Køge,7217,"N Dalby,Køge",1793,181,10%,0%,1%,89%
Køge,7218,"Højelse,Køge",6915,1050,15%,0%,2%,83%
Køge,7492,"Lellinge,Køge",875,110,13%,0%,2%,85%
Køge,7536,"Lidemark,Køge",276,27,10%,0%,1%,89%
Køge,7537,"Bjæverskov,Køge",4355,518,12%,0%,1%,87%
Køge,7538,"Vollerslev,Køge",243,40,16%,0%,2%,82%
Køge,7539,"Gørslev,Køge",902,125,14%,0%,1%,85%
Køge,7540,"Herfølge,Køge",10636,1488,14%,0%,1%,85%
Køge,7541,"Sædder,Køge",1212,149,12%,0%,1%,87%
Køge,9117,"Boholte,Køge",5905,922,16%,0%,2%,83%
Langeland,,,30,18,60%,0%,0%,40%
Langeland,7694,"Strynø,Langeland",187,15,8%,0%,1%,91%
Langeland,7702,"Bøstrup,Langeland",400,76,19%,0%,2%,80%
Langeland,7703,"Snøde,Langeland",330,41,12%,0%,1%,87%
Langeland,7704,"Stoense,Langeland",161,19,12%,0%,1%,88%
Langeland,7705,"Hou,Langeland",530,70,13%,0%,1%,86%
Langeland,7706,"Longelse,Langeland",478,44,9%,0%,1%,90%
Langeland,7707,"Fuglsbølle,Langeland",158,19,12%,0%,1%,87%
Langeland,7708,"Lindelse,Langeland",663,74,11%,0%,1%,88%
Langeland,7709,"Humble,Langeland",1139,113,10%,0%,1%,89%
Langeland,7710,"Tryggelev,Langeland",296,31,10%,0%,1%,88%
Langeland,7711,"Fodslette,Langeland",97,19,20%,0%,0%,80%
Langeland,7712,"Magleby,Langeland",348,39,11%,0%,1%,88%
Langeland,7741,"Rudkøbing,Langeland",3656,448,12%,0%,1%,87%
Langeland,7742,"Simmerbølle,Langelan",623,67,11%,0%,1%,88%
Langeland,7743,"Skrøbelev,Langeland",581,83,14%,0%,1%,84%
Langeland,7744,"Tranekær,Langeland",187,32,17%,0%,0%,83%
Langeland,7745,"Tullebølle,Langeland",966,118,12%,0%,1%,87%
Langeland,9254,"Bagenkop,Langeland",512,48,9%,0%,1%,90%
Lejre,,,64,23,36%,0%,6%,58%
Lejre,7163,"Herslev,Lejre",535,54,10%,0%,2%,88%
Lejre,7164,"Gevninge,Lejre",1764,166,9%,0%,1%,90%
Lejre,7165,"Kornerup,Lejre",193,19,10%,0%,1%,89%
Lejre,7171,"Osted,Lejre",2290,312,14%,0%,1%,86%
Lejre,7172,"Allerslev,Lejre",1363,98,7%,0%,1%,92%
Lejre,7173,"Kr Hvalsø,Lejre",4110,392,10%,0%,1%,89%
Lejre,7174,"Særløse,Lejre",493,61,12%,0%,1%,86%
Lejre,7175,"Kr Såby,Lejre",2402,269,11%,0%,1%,88%
Lejre,7176,"Kisserup,Lejre",210,16,8%,0%,0%,92%
Lejre,7177,"Rye,Lejre",2273,213,9%,0%,1%,89%
Lejre,7178,"Kr Sonnerup,Lejre",1256,156,12%,0%,1%,87%
Lejre,7179,"Kr Hyllinge,Lejre",2689,335,12%,0%,1%,86%
Lejre,7180,"Lyndby,Lejre",1025,120,12%,0%,1%,87%
Lejre,7181,"Sæby,Lejre",994,102,10%,0%,2%,88%
Lejre,7182,"Gershøj,Lejre",428,50,12%,0%,1%,87%
Lejre,7208,"Rorup,Lejre",1505,105,7%,0%,1%,92%
Lejre,7209,"Glim,Lejre",972,173,18%,0%,1%,81%
Lemvig,,,28,11,39%,0%,4%,57%
Lemvig,8840,"Lemvig,Lemvig",3987,386,10%,0%,1%,89%
Lemvig,8841,"Nørlem,Lemvig",1744,117,7%,0%,0%,93%
Lemvig,8842,"N Nissum,Lemvig",1121,161,14%,0%,2%,84%
Lemvig,8843,"Tørring,Lemvig",374,42,11%,0%,0%,89%
Lemvig,8844,"Heldum,Lemvig",620,42,7%,0%,1%,92%
Lemvig,8847,"Bøvling,Lemvig",798,92,12%,0%,1%,87%
Lemvig,8848,"Flynder,Lemvig",664,95,14%,0%,2%,84%
Lemvig,8849,"Møborg,Lemvig",566,88,16%,0%,1%,83%
Lemvig,8850,"Nees,Lemvig",313,50,16%,0%,1%,83%
Lemvig,8851,"Gudum,Lemvig",642,77,12%,0%,2%,86%
Lemvig,8852,"Fabjerg,Lemvig",414,39,9%,0%,1%,90%
Lemvig,8856,"Harboøre,Lemvig",1484,134,9%,0%,1%,90%
Lemvig,8857,"Engbjerg,Lemvig",36,<10,,,,
Lemvig,8858,"Thyborøn,Lemvig",1711,170,10%,0%,1%,89%
Lemvig,8859,"Hygum,Lemvig",164,10,6%,0%,1%,93%
Lemvig,8860,"Hove,Lemvig",423,47,11%,0%,1%,88%
Lemvig,8861,"Vandborg,Lemvig",227,28,12%,0%,0%,88%
Lemvig,8862,"Ferring,Lemvig",82,<10,,,,
Lemvig,8863,"Dybe,Lemvig",163,26,16%,0%,1%,83%
Lemvig,8864,"Ramme,Lemvig",697,109,16%,0%,1%,83%
Lemvig,8865,"Fjaltring,Lemvig",185,18,10%,0%,1%,89%
Lemvig,8866,"Trans,Lemvig",28,<10,,,,
Lemvig,9314,"Lomborg-Rom, Lemvig",853,107,13%,0%,1%,86%
Lolland,,,145,77,53%,0%,2%,45%
Lolland,7622,"Horslunde,Lolland",652,101,15%,0%,2%,83%
Lolland,7623,"Nordlunde,Lolland",76,<10,,,,
Lolland,7626,"Halsted,Lolland",395,80,20%,0%,1%,79%
Lolland,7627,"Aunede,Lolland",261,38,15%,0%,2%,84%
Lolland,7628,"Vestenskov,Lolland",370,42,11%,0%,2%,87%
Lolland,7629,"Kappel,Lolland",227,37,16%,0%,1%,82%
Lolland,7630,"Dannemare,Lolland",430,40,9%,0%,1%,90%
Lolland,7631,"Tillitze,Lolland",338,68,20%,0%,1%,79%
Lolland,7632,"Gloslunde,Lolland",312,30,10%,0%,1%,89%
Lolland,7633,"Græshave,Lolland",123,18,15%,0%,2%,84%
Lolland,7634,"Landet,Lolland",229,54,24%,0%,2%,75%
Lolland,7635,"Ryde,Lolland",194,45,23%,0%,0%,77%
Lolland,7639,"Stokkemarke,Lolland",942,199,21%,0%,1%,77%
Lolland,7640,"Vesterborg,Lolland",310,48,15%,0%,1%,84%
Lolland,7641,"Birket,Lolland",406,63,16%,0%,1%,83%
Lolland,7646,"Hunseby,Lolland",1711,195,11%,0%,1%,88%
Lolland,7648,"Domkirkens,Lolland",4143,523,13%,0%,1%,86%
Lolland,7649,"Hillested,Lolland",349,57,16%,0%,1%,82%
Lolland,7650,"Skørringe,Lolland",220,49,22%,0%,2%,76%
Lolland,7651,"Rødby,Lolland",1507,256,17%,0%,1%,82%
Lolland,7652,"Ringsebølle,Lolland",219,24,11%,0%,2%,87%
Lolland,7653,"Tågerup,Lolland",266,51,19%,0%,0%,80%
Lolland,7654,"Torslunde,Lolland",152,23,15%,0%,0%,85%
Lolland,7655,"Errindlev,Lolland",439,59,13%,0%,1%,86%
Lolland,7656,"Olstrup,Lolland",142,18,13%,0%,1%,87%
Lolland,7657,"Fuglse,Lolland",423,69,16%,0%,1%,83%
Lolland,7658,"Krønge,Lolland",81,<10,,,,
Lolland,7659,"Holeby,Lolland",1321,197,15%,0%,1%,84%
Lolland,7660,"Bursø,Lolland",207,39,19%,0%,0%,81%
Lolland,7661,"Nebbelunde,Lolland",134,25,19%,1%,2%,78%
Lolland,7662,"Sædinge,Lolland",299,52,17%,0%,1%,82%
Lolland,7663,"Tirsted,Lolland",370,70,19%,0%,1%,80%
Lolland,7664,"Vejleby,Lolland",192,37,19%,0%,3%,78%
Lolland,7665,"Østofte,Lolland",801,102,13%,0%,1%,86%
Lolland,7666,"Bandholm,Lolland",654,84,13%,0%,1%,86%
Lolland,7667,"Fejø,Lolland",415,53,13%,0%,1%,86%
Lolland,7668,"Femø,Lolland",111,11,10%,0%,1%,89%
Lolland,7669,"Askø,Lolland",52,<10,,,,
Lolland,7670,"Skt Nikolai,Lolland",7837,1334,17%,0%,1%,82%
Lolland,7671,"Branderslev,Lolland",320,45,14%,0%,1%,85%
Lolland,7672,"Stormarks,Lolland",3412,491,14%,0%,1%,84%
Lolland,7673,"Arninge,Lolland",122,19,16%,0%,2%,83%
Lolland,7674,"Sandby,Lolland",571,80,14%,0%,1%,85%
Lolland,9082,"Rødbyhavn,Lolland",1522,259,17%,0%,1%,82%
Lolland,9194,Utterslev-H-Løjtofte,609,97,16%,0%,0%,83%
Lolland,9195,Sølles-Skovl-Gurreby,1376,227,16%,0%,1%,82%
Lolland,9248,"Langø,Lolland",298,20,7%,0%,0%,93%
Lolland,9250,"Nøbbet,Lolland",264,35,13%,0%,1%,86%
Lolland,9321,Købelev-Vindeby,419,83,20%,0%,0%,80%
Lyngby-Taarbæk,,,280,108,39%,0%,3%,59%
Lyngby-Taarbæk,7119,"Kgs Lyngby,Lyngby-T",13248,1860,14%,0%,2%,84%
Lyngby-Taarbæk,7120,"Christians,Lyngby-T",8058,794,10%,0%,1%,89%
Lyngby-Taarbæk,7121,"Virum,Lyngby-Taarbæk",9513,668,7%,0%,1%,92%
Lyngby-Taarbæk,7122,"Sorgenfri,Lyngby-T",5509,415,8%,0%,1%,91%
Lyngby-Taarbæk,7123,"Lundtofte,Lyngby-T",12008,1584,13%,0%,2%,85%
Lyngby-Taarbæk,7124,"Tårbæk,Lyngby-T",1403,131,9%,0%,1%,89%
Læsø,8437,"Byrum,Læsø",638,83,13%,0%,1%,86%
Læsø,8438,"Hals,Læsø",460,30,7%,0%,1%,92%
Læsø,8439,"Vesterø,Læsø",556,75,13%,0%,0%,86%
Mariagerfjord,,,94,31,33%,1%,3%,63%
Mariagerfjord,8149,"V Tørslev,Mariagerfj",74,20,27%,0%,1%,72%
Mariagerfjord,8150,"Svenstrup,Mariagerfj",250,35,14%,1%,1%,84%
Mariagerfjord,8185,"Glenstrup,Mariagerfj",539,56,10%,0%,2%,88%
Mariagerfjord,8186,"Skjellerup,Mariagerf",299,36,12%,0%,2%,86%
Mariagerfjord,8198,"Hobro,Mariagerfjord",9193,1000,11%,0%,1%,88%
Mariagerfjord,8199,"Mariager,Mariagerfjo",2943,318,11%,0%,1%,88%
Mariagerfjord,8202,"Hem,Mariagerfjord",243,43,18%,0%,1%,81%
Mariagerfjord,8203,"Sem,Mariagerfjord",104,21,20%,0%,0%,80%
Mariagerfjord,8204,"S Onsild,Mariagerfj",787,92,12%,0%,1%,87%
