date,cases0_1,cases1_5,cases5_15,cases15_65,cases65,casesSum,pop0_1,pop1_4,pop5_14,pop15_64,pop65,popSum,ratio0_1,ratio1_4,ratio5_14,ratio15_64,ratio65,ratioAll,ratioK0_1,ratioK1_4,ratioK5_14,ratioK15_64,ratioK65,ratioKAll
1916-01-02,1,2,6,91,7,107,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.00010738831615120275,5.488022391131356e-05,6.818956699624957e-05,0.00026666197810441426,0.0002458124100150999,0.0002125216990613294,0.10738831615120274,0.05488022391131356,0.06818956699624958,0.2666619781044143,0.24581241001509993,0.2125216990613294
1916-01-09,1,3,5,52,3,64,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.00010738831615120275,8.232033586697034e-05,5.682463916354131e-05,0.00015237827320252245,0.0001053481757207571,0.00012711578261612226,0.10738831615120274,0.08232033586697034,0.05682463916354131,0.15237827320252245,0.1053481757207571,0.12711578261612227
1916-01-16,0,1,13,67,5,86,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,2.744011195565678e-05,0.00014774406182520742,0.00019633354431863469,0.0001755802928679285,0.00017081183289041429,0.0,0.02744011195565678,0.1477440618252074,0.19633354431863467,0.1755802928679285,0.1708118328904143
1916-01-23,0,4,9,77,2,92,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.00010976044782262712,0.00010228435049437437,0.00022563705839604285,7.02321171471714e-05,0.00018272893751067573,0.0,0.10976044782262712,0.10228435049437437,0.22563705839604284,0.0702321171471714,0.18272893751067573
1916-01-30,0,1,8,92,4,105,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,2.744011195565678e-05,9.09194226616661e-05,0.0002695923295121551,0.0001404642342943428,0.00020854933085457557,0.0,0.02744011195565678,0.0909194226616661,0.2695923295121551,0.1404642342943428,0.20854933085457558
1916-02-06,0,8,13,93,12,126,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.00021952089564525424,0.00014774406182520742,0.0002725226809198959,0.0004213927028830284,0.00025025919702549067,0.0,0.21952089564525423,0.1477440618252074,0.2725226809198959,0.4213927028830284,0.25025919702549065
1916-02-13,0,7,19,178,6,210,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.00019208078368959745,0.00021593362882145698,0.0005216025505778653,0.0002106963514415142,0.00041709866170915115,0.0,0.19208078368959744,0.21593362882145697,0.5216025505778653,0.2106963514415142,0.41709866170915116
1916-02-20,4,13,20,273,13,323,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.000429553264604811,0.00035672145542353813,0.00022729855665416524,0.0007999859343132429,0.0004565087614566141,0.000641537465390742,0.42955326460481097,0.3567214554235381,0.22729855665416523,0.7999859343132429,0.4565087614566141,0.641537465390742
1916-02-27,1,19,60,388,24,492,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.00010738831615120275,0.0005213621271574788,0.0006818956699624957,0.0011369763462034366,0.0008427854057660568,0.0009772025788614398,0.10738831615120274,0.5213621271574788,0.6818956699624957,1.1369763462034366,0.8427854057660568,0.9772025788614398
1916-03-05,1,29,92,532,29,683,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.00010738831615120275,0.0007957632467140465,0.00104557336060916,0.0015589469489181143,0.0010183656986339853,0.0013565637426064298,0.10738831615120274,0.7957632467140465,1.0455733606091602,1.5589469489181143,1.0183656986339853,1.3565637426064299
1916-03-12,3,40,124,797,35,999,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.00032216494845360824,0.0010976044782262712,0.0014092510512558245,0.0023354900719694304,0.0012290620500754995,0.001984197919273533,0.32216494845360827,1.097604478226271,1.4092510512558245,2.3354900719694305,1.2290620500754994,1.9841979192735333
1916-03-19,5,50,126,792,75,1048,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0005369415807560138,0.001372005597782839,0.001431980906921241,0.0023208383149307264,0.0026337043930189275,0.002081520940339002,0.5369415807560138,1.372005597782839,1.431980906921241,2.3208383149307266,2.6337043930189274,2.081520940339002
1916-03-26,5,61,133,738,66,1003,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0005369415807560138,0.0016738468292950635,0.001511535401750199,0.0021625993389127224,0.0023176598658566565,0.001992142655687041,0.5369415807560138,1.6738468292950635,1.511535401750199,2.1625993389127225,2.3176598658566565,1.9921426556870407
1916-04-02,9,63,85,530,37,724,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0009664948453608248,0.001728727053206377,0.0009660188657802023,0.0015530862461026326,0.001299294167222671,0.001437997290844883,0.9664948453608248,1.728727053206377,0.9660188657802024,1.5530862461026327,1.299294167222671,1.437997290844883
1916-04-09,17,66,72,394,30,579,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0018256013745704468,0.0018110473890733474,0.0008182748039549949,0.0011545584546498815,0.001053481757207571,0.001150000595855231,1.8256013745704467,1.8110473890733474,0.818274803954995,1.1545584546498815,1.053481757207571,1.150000595855231
1916-04-16,4,20,30,168,16,238,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.000429553264604811,0.0005488022391131356,0.00034094783498124785,0.0004922990365004571,0.0005618569371773712,0.00047271181660370464,0.42955326460481097,0.5488022391131355,0.34094783498124787,0.49229903650045714,0.5618569371773712,0.47271181660370465
1916-04-23,3,18,26,180,20,247,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.00032216494845360824,0.000493922015201822,0.00029548812365041483,0.0005274632533933469,0.000702321171471714,0.0004905874735340968,0.32216494845360827,0.49392201520182205,0.2954881236504148,0.5274632533933469,0.702321171471714,0.4905874735340968
1916-04-30,0,9,14,164,13,200,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.000246961007600911,0.00015910898965791568,0.0004805776308694939,0.0004565087614566141,0.00039723682067538207,0.0,0.24696100760091103,0.15910898965791567,0.4805776308694939,0.4565087614566141,0.3972368206753821
1916-05-07,0,6,16,107,13,142,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.00016464067173394068,0.0001818388453233322,0.00031354760062826735,0.0004565087614566141,0.0002820381426795213,0.0,0.16464067173394067,0.1818388453233322,0.31354760062826736,0.4565087614566141,0.28203814267952126
1916-05-14,2,3,11,81,9,106,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0002147766323024055,8.232033586697034e-05,0.00012501420615979088,0.00023735846402700612,0.0003160445271622713,0.00021053551495795248,0.21477663230240548,0.08232033586697034,0.1250142061597909,0.2373584640270061,0.3160445271622713,0.21053551495795247
1916-05-21,1,4,13,84,7,109,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.00010738831615120275,0.00010976044782262712,0.00014774406182520742,0.00024614951825022857,0.0002458124100150999,0.0002164940672680832,0.10738831615120274,0.10976044782262712,0.1477440618252074,0.24614951825022857,0.24581241001509993,0.2164940672680832
1916-05-28,0,2,6,66,10,84,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,5.488022391131356e-05,6.818956699624957e-05,0.00019340319291089386,0.000351160585735857,0.00016683946468366045,0.0,0.05488022391131356,0.06818956699624958,0.19340319291089386,0.351160585735857,0.16683946468366045
1916-06-04,1,3,9,47,3,63,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.00010738831615120275,8.232033586697034e-05,0.00010228435049437437,0.00013772651616381835,0.0001053481757207571,0.00012512959851274533,0.10738831615120274,0.08232033586697034,0.10228435049437437,0.13772651616381834,0.1053481757207571,0.12512959851274533
1916-06-11,0,1,5,38,7,51,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,2.744011195565678e-05,5.682463916354131e-05,0.00011135335349415101,0.0002458124100150999,0.00010129538927222242,0.0,0.02744011195565678,0.05682463916354131,0.11135335349415101,0.24581241001509993,0.10129538927222242
1916-06-18,0,0,4,47,3,54,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,4.545971133083305e-05,0.00013772651616381835,0.0001053481757207571,0.00010725394158235315,0.0,0.0,0.04545971133083305,0.13772651616381834,0.1053481757207571,0.10725394158235316
1916-06-25,0,3,3,39,1,46,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,8.232033586697034e-05,3.409478349812479e-05,0.00011428370490189184,3.51160585735857e-05,9.136446875533786e-05,0.0,0.08232033586697034,0.03409478349812479,0.11428370490189184,0.0351160585735857,0.09136446875533787
1916-07-02,0,0,3,25,0,28,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,3.409478349812479e-05,7.32587851935204e-05,0.0,5.561315489455349e-05,0.0,0.0,0.03409478349812479,0.0732587851935204,0.0,0.055613154894553485
1916-07-09,0,1,0,14,2,17,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,2.744011195565678e-05,0.0,4.102491970837143e-05,7.02321171471714e-05,3.3765129757407475e-05,0.0,0.02744011195565678,0.0,0.04102491970837143,0.0702321171471714,0.033765129757407475
