"Døde pr. dag (eksperimentel statistik) efter køn, tid og alder"

" "," ","I alt"
"I alt"
" ","2007M12D08",161
" ","2007M12D09",165
" ","2007M12D10",184
" ","2007M12D11",148
" ","2007M12D12",146
" ","2007M12D13",181
" ","2007M12D14",160
" ","2007M12D15",148
" ","2007M12D16",160
" ","2007M12D17",141
" ","2007M12D18",155
" ","2007M12D19",177
" ","2007M12D20",154
" ","2007M12D21",170
" ","2007M12D22",178
" ","2007M12D23",164
" ","2007M12D24",180
" ","2007M12D25",174
" ","2007M12D26",183
" ","2007M12D27",203
" ","2007M12D28",169
" ","2007M12D29",174
" ","2007M12D30",161
" ","2007M12D31",176
" ","2008M01D01",187
" ","2008M01D02",167
" ","2008M01D03",181
" ","2008M01D04",171
" ","2008M01D05",191
" ","2008M01D06",184
" ","2008M01D07",204
" ","2008M01D08",154
" ","2008M01D09",173
" ","2008M01D10",175
" ","2008M01D11",185
" ","2008M01D12",179
" ","2008M01D13",147
" ","2008M01D14",170
" ","2008M01D15",176
" ","2008M01D16",196
" ","2008M01D17",146
" ","2008M01D18",151
" ","2008M01D19",162
" ","2008M01D20",172
" ","2008M01D21",165
" ","2008M01D22",166
" ","2008M01D23",162
" ","2008M01D24",162
" ","2008M01D25",170
" ","2008M01D26",177
" ","2008M01D27",177
" ","2008M01D28",157
" ","2008M01D29",165
" ","2008M01D30",158
" ","2008M01D31",154
" ","2008M02D01",152
" ","2008M02D02",153
" ","2008M02D03",175
" ","2008M02D04",156
" ","2008M02D05",162
" ","2008M02D06",152
" ","2008M02D07",148
" ","2008M02D08",170
" ","2008M02D09",147
" ","2008M02D10",159
" ","2008M02D11",155
" ","2008M02D12",143
" ","2008M02D13",160
" ","2008M02D14",167
" ","2008M02D15",138
" ","2008M02D16",147
" ","2008M02D17",153
" ","2008M02D18",150
" ","2008M02D19",180
" ","2008M02D20",143
" ","2008M02D21",153
" ","2008M02D22",151
" ","2008M02D23",168
" ","2008M02D24",165
" ","2008M02D25",129
" ","2008M02D26",158
" ","2008M02D27",156
" ","2008M02D28",156
" ","2008M02D29",125
" ","2008M03D01",157
" ","2008M03D02",171
" ","2008M03D03",139
" ","2008M03D04",139
" ","2008M03D05",151
" ","2008M03D06",167
" ","2008M03D07",164
" ","2008M03D08",168
" ","2008M03D09",138
" ","2008M03D10",138
" ","2008M03D11",169
" ","2008M03D12",137
" ","2008M03D13",150
" ","2008M03D14",162
" ","2008M03D15",152
" ","2008M03D16",151
" ","2008M03D17",160
" ","2008M03D18",140
" ","2008M03D19",160
" ","2008M03D20",157
" ","2008M03D21",148
" ","2008M03D22",154
" ","2008M03D23",155
" ","2008M03D24",151
" ","2008M03D25",155
" ","2008M03D26",154
" ","2008M03D27",164
" ","2008M03D28",162
" ","2008M03D29",153
" ","2008M03D30",156
" ","2008M03D31",148
" ","2008M04D01",163
" ","2008M04D02",165
" ","2008M04D03",148
" ","2008M04D04",142
" ","2008M04D05",152
" ","2008M04D06",149
" ","2008M04D07",157
" ","2008M04D08",132
" ","2008M04D09",139
" ","2008M04D10",182
" ","2008M04D11",151
" ","2008M04D12",160
" ","2008M04D13",131
" ","2008M04D14",147
" ","2008M04D15",169
" ","2008M04D16",157
" ","2008M04D17",136
" ","2008M04D18",146
" ","2008M04D19",144
" ","2008M04D20",149
" ","2008M04D21",129
" ","2008M04D22",138
" ","2008M04D23",157
" ","2008M04D24",163
" ","2008M04D25",144
" ","2008M04D26",147
" ","2008M04D27",125
" ","2008M04D28",164
" ","2008M04D29",138
" ","2008M04D30",161
" ","2008M05D01",158
" ","2008M05D02",163
" ","2008M05D03",149
" ","2008M05D04",123
" ","2008M05D05",146
" ","2008M05D06",134
" ","2008M05D07",156
" ","2008M05D08",147
" ","2008M05D09",147
" ","2008M05D10",152
" ","2008M05D11",158
" ","2008M05D12",139
