,VaccRate,Denmark,Peru,Brazil,Africa,Asia,Europe,Latin America and the Caribbean,Northern America,Oceania,WORLD
39,0.39,0.048755788377102975,0.016638706317401906,0.019587516800542708,0.006391453837500887,0.017655019687999762,0.04872403227755935,0.016638741203788252,0.032481289762503016,0.019164159530676437,0.016243954136012952
40,0.4,0.04307596060763044,0.016113896877237386,0.018970451148893133,0.0060360083711562046,0.017147148804011875,0.0443837838772809,0.01611393234506351,0.02989234156157504,0.01832447128043013,0.01571256549282529
41,0.41000000000000003,0.040233027233428205,0.015571295612978335,0.01847626773231043,0.005812982171731201,0.01662206194634919,0.04195269238675716,0.015571333271157227,0.027215632404683388,0.017554278968155222,0.015163163668124506
42,0.42,0.037688455602656594,0.015009987365167203,0.017965043508259358,0.005676372146478919,0.01607886866872702,0.03943777015518087,0.015010024056021814,0.024455136350931286,0.017027158386101474,0.014594816967499515
43,0.43,0.035054600756770186,0.014428982358814475,0.017435881592136316,0.005534968787007257,0.015516615965945519,0.036834605038286124,0.014429019693368295,0.023664078136992284,0.01648154234502829,0.014006528269959639
44,0.44,0.03232667966638783,0.013927553434403389,0.016887821036151735,0.005388515307554464,0.014934282809493245,0.03413846973864512,0.013879045160374503,0.022844767843984034,0.015916440016773926,0.013462216642664677
45,0.45,0.02949956144544612,0.013487558538169407,0.01631983100540408,0.005236736247030661,0.014330773901897255,0.03134429315538082,0.013438168295521812,0.021995664449411836,0.015330788512946676,0.013013761077489987
46,0.46,0.02656773514224731,0.01303126753466749,0.01573080430685096,0.005079335739820792,0.013865304380041422,0.028446628550514143,0.01298096265789679,0.021115112780966606,0.01472344621268138,0.012548696046938451
47,0.47000000000000003,0.02436418047404842,0.012557756539495056,0.015119550185710927,0.004915995590829419,0.013407531392357813,0.02642713309313471,0.01250650397734253,0.020201332747674383,0.01409318533504758,0.01206608139259252
48,0.48,0.02349530981882907,0.012066036565721137,0.014571578482676812,0.004746373128415297,0.012932151751301758,0.025597934603667008,0.012013796885997718,0.019252407328486303,0.013510548943511263,0.011564904636156363
49,0.49,0.022592365804581516,0.011555031935102477,0.014109702124939642,0.004570098804730035,0.012438129771380759,0.02473621852637706,0.0115017679479335,0.018615941527255254,0.013027868085006137,0.011044073889271729
50,0.5,0.02165330402976405,0.011023587119259073,0.013629350712892977,0.004471170194680275,0.011924346912262917,0.02384003380599551,0.010969257852346719,0.018025714903254907,0.012525879992160809,0.010502409912511713
51,0.51,0.02067591320291323,0.010470450678279201,0.013129393120762776,0.004413346209785068,0.011389593324201495,0.022907270117435128,0.010415012650817616,0.017411397396642294,0.012003402589403422,0.009938637202006384
52,0.52,0.01965779775827695,0.0099797175525232,0.012608603962293824,0.004353112892185893,0.010832558336637509,0.021935641275184718,0.009945320340177304,0.016771483327254158,0.011459155294864475,0.00948051856747588
53,0.53,0.01866112185686654,0.009602303419211313,0.012065653563038948,0.004290316454688881,0.01025181973258144,0.020922666524753445,0.009567174351283592,0.016104338871934614,0.01089174854098345,0.00909248317916299
54,0.54,0.0180205533596838,0.009208479975755433,0.011499096352350647,0.004224789737300695,0.009790129201620925,0.02007632987668017,0.009172587232437978,0.015408188135949007,0.010299671928238026,0.008687576681702905
55,0.55,0.017351503341707066,0.008797153268145959,0.010907359093388217,0.004156350721361921,0.009391728032364018,0.019452975505881803,0.008760462908310339,0.014736973581454853,0.009720739033545357,0.00826467434521614
56,0.56,0.016652053762984727,0.008367129892008779,0.010379547010044558,0.004084800835603841,0.008975217709871534,0.018801286930687312,0.008329605592977204,0.014205375870320013,0.009311706221202231,0.007822549181048069
57,0.5700000000000001,0.015920071632652553,0.007917104031957254,0.00997632294032742,0.004009923053638096,0.008539334823413345,0.01811928725887786,0.00787870846985736,0.013649052684092784,0.008883648625852926,0.007359860043878019
58,0.58,0.015153246753246757,0.00744565122885768,0.009553897927683089,0.003931479668991669,0.008082695619091319,0.017404811509957065,0.007406340129033803,0.013066238079159975,0.008435208410173261,0.006875138103089319
59,0.59,0.014511954822472823,0.006951199263264412,0.00911086661328068,0.0038492097717830395,0.007603781321552525,0.016655483187583517,0.006910929356127755,0.01245499333164503,0.007964891985587684,0.006366771183209013
60,0.6,0.013921571874852828,0.006432024699391475,0.00864568373315815,0.0037871119416157868,0.007100921309136793,0.015868688449091284,0.00651102218616539,0.011813186346754335,0.007471059739772834,0.0061707124846382124
61,0.61,0.013300912878636932,0.0062442990198563275,0.008156645320721648,0.0037696486114474274,0.006572273603776665,0.015137106427738889,0.006325757020775691,0.011138466183151306,0.006951902763403373,0.005976721429465767
62,0.62,0.012647587619462304,0.006047139424685083,0.007641868044472696,0.0037512661586386266,0.006324173479748434,0.014532102051435368,0.006130741057207587,0.010507054163737876,0.006405421735646044,0.005772520318757927
63,0.63,0.011958947481413374,0.005839322554099175,0.007099264969507585,0.0037318900597320547,0.006123844016056131,0.013894394735872194,0.005925183690203371,0.010041888551455607,0.006169318835276282,0.005557281310173989
64,0.64,0.011232049557917284,0.005619960301814052,0.006685072767199848,0.0037114375108862276,0.005912385137714255,0.013221259236111067,0.005708206469476696,0.009550880405157657,0.005959123146357188,0.005330084578890944
65,0.65,0.010623588550975878,0.005388063063684064,0.0064836073137951675,0.003689816244963497,0.005688842894895702,0.01250965885064931,0.005478830550422784,0.009031814650499823,0.005736916275214148,0.005089905177248866
66,0.66,0.01012080639605805,0.005142524811546429,0.006270290951366683,0.00366692313986884,0.0054521511083819385,0.01175619961898391,0.005235961930248053,0.008482215616156237,0.005501638411650927,0.004835597575510196
67,0.67,0.009587552595387636,0.004882105453218635,0.006044046324548594,0.003642642573859356,0.005201114365109766,0.010957076081334168,0.004978373999759702,0.007899307549428188,0.0052521012836293296,0.004624788374579373
68,0.68,0.009020960342585075,0.004623259248485583,0.005803661408554373,0.0036168444704897705,0.004934387825383082,0.010227168306179596,0.004720981205703914,0.0072799675553807805,0.004986967444421614,0.0045410459658304335
69,0.6900000000000001,0.008417823829983025,0.004536765874271138,0.005547767788302461,0.003589381975336849,0.004682199254887011,0.009662942061422484,0.0046376404230721235,0.006658000217465293,0.004704728836250838,0.0044519008210331746
70,0.7000000000000001,0.007774478193396237,0.004444506545601339,0.005274814593367089,0.0035600886471691792,0.004594787714835615,0.009061100733513863,0.0045487435882365585,0.006422054768036536,0.004569056981211686,0.004356812665322208
71,0.71,0.0070867761508643014,0.004345884813375942,0.004983037040160313,0.003528775091883844,0.0045013477947899875,0.008417753195955655,0.00445371595220525,0.00616983728922857,0.004474730013507038,0.004255166708377154
72,0.72,0.006647601854198298,0.004240218361905603,0.004748278907191727,0.003504491807078718,0.0044012335926558645,0.007728452173733292,0.004351900612835958,0.005899604205402318,0.004373665176327094,0.00414626032458543
73,0.73,0.006385055121525507,0.004126724765881904,0.004653602368400848,0.003490146385792072,0.004293703523696991,0.006988091816531497,0.004242543396476347,0.005609353856107454,0.004265114054911599,0.004029286801253577
