"HealthTopic,""Population"",""Indicator"",""Unit"",""Time"",""RegionCode"",""RegionName"",""NumValue"",""TxtValue"""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""SE"",""Sweden"",22.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""SI"",""Slovenia"",20.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W46"",""SK"",""Slovakia"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""CZ"",""Czechia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""DE"",""Germany"",4.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""DK"",""Denmark"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""EE"",""Estonia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""ES"",""Spain"",54.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""EU31_UKX"",""EU/EEA"",451.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""FR"",""France"",238.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""IE"",""Ireland"",68.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""IT"",""Italy"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""LV"",""Latvia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""NL"",""Netherlands"",10.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""PL"",""Poland"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""PT"",""Portugal"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W47"",""SE"",""Sweden"",45.000000000,"""""
