Uge;Doede
2021U32;1085
2021U33;1048
2021U34;1062
2021U35;1052
2021U36;1093
2021U37;1051
2021U38;1050
2021U39;1138
2021U40;1064
2021U41;1161
2021U42;1128
2021U43;1138
2021U44;1141
2021U45;1142
2021U46;1132
2021U47;1209
2021U48;1214
2021U49;1265
2021U50;1256
2021U51;1286
2021U52;1275
2022U01;1348
2022U02;1207
2022U03;1178
2022U04;1178
2022U05;1206
2022U06;1279
2022U07;1262
2022U08;1250
2022U09;1208
